#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.010    -98.881   -118.247   -126.844    -27.743    174.749     94.036
      0.020    -99.155   -116.495   -125.899    -27.040    175.582     94.851
      0.030    -99.422   -114.735   -124.947    -26.321    176.419     95.675
      0.040    -99.681   -112.967   -123.986    -25.586    177.259     96.509
      0.050    -99.933   -111.190   -123.016    -24.835    178.103     97.353
      0.060   -100.178   -109.405   -122.039    -24.067    178.950     98.207
      0.070   -100.414   -107.611   -121.052    -23.281    179.801     99.071
      0.080   -100.643   -105.808   -120.057    -22.477    180.654     99.946
      0.090   -100.864   -103.998   -119.053    -21.654    181.510    100.831
      0.100   -101.076   -102.178   -118.040    -20.812    182.370    101.726
      0.110   -101.280   -100.350   -117.019    -19.951    183.232    102.633
      0.120   -101.475    -98.514   -115.988    -19.070    184.096    103.550
      0.130   -101.661    -96.668   -114.948    -18.167    184.963    104.479
      0.140   -101.838    -94.814   -113.898    -17.244    185.832    105.419
      0.150   -102.006    -92.952   -112.839    -16.298    186.703    106.370
      0.160   -102.164    -91.080   -111.771    -15.330    187.576    107.334
      0.170   -102.313    -89.200   -110.692    -14.338    188.450    108.309
      0.180   -102.451    -87.311   -109.604    -13.323    189.326    109.296
      0.190   -102.579    -85.414   -108.506    -12.283    190.202    110.296
      0.200   -102.696    -83.507   -107.398    -11.217    191.079    111.308
      0.210   -102.803    -81.592   -106.280    -10.125    191.956    112.333
      0.220   -102.899    -79.668   -105.152     -9.006    192.833    113.370
      0.230   -102.983    -77.735   -104.013     -7.860    193.710    114.421
      0.240   -103.056    -75.794   -102.863     -6.684    194.586    115.485
      0.250   -103.117    -73.844   -101.703     -5.480    195.460    116.561
      0.260   -103.165    -71.885   -100.532     -4.245    196.332    117.652
      0.270   -103.201    -69.917    -99.350     -2.978    197.203    118.756
      0.280   -103.225    -67.941    -98.157     -1.680    198.070    119.873
      0.290   -103.235    -65.956    -96.952     -0.348    198.933    121.005
      0.300   -103.231    -63.962    -95.737      1.017    199.793    122.151
      0.310   -103.214    -61.960    -94.509      2.418    200.647    123.310
      0.320   -103.183    -59.949    -93.270      3.856    201.496    124.484
